,category,name,brand,Img, 
0,스킨/토너,넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정),넘버즈인,/component/img/cos/C00_plus_300ml.jpg,
1,스킨/토너,토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+화장솜 60매 증정),토리든,/component/img/cos/C01_plus_cotton_pad.jpg,
2,스킨/토너,라운드랩 1025 독도 토너 500ml 기획 (+200ml+ 마스크팩 1매),라운드랩,/component/img/cos/C02_plus_200ml.jpg,
3,스킨/토너,브링그린 티트리시카수딩토너 500mL+200리필(배스킨콜라보),브링그린,/component/img/cos/C03_plus_200ml.jpg,
4,스킨/토너,아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),아비브,/component/img/cos/C04_plus_200ml.jpg,
5,스킨/토너,아누아 어성초 77 수딩 토너 350ml 리필 기획세트(+350ml 리필팩),아누아,/component/img/cos/C05_plus_350ml.jpg,
6,스킨/토너,바이오더마 하이드라비오 토너 500ml 기획 (+양면 토너패드 50매),바이오더마,/component/img/cos/C06_plus_two_sided_toner_pad.jpg,
7,스킨/토너,라네즈 크림스킨 170ml 리필 기획 (+170ml 리필),라네즈,/component/img/cos/C07_plus_170ml.jpg,
8,로션,엠도씨 세붐 스트라이크 세럼 100ml,엠도씨,/component/img/cos/C08.jpg,
9,로션,크리니크 드라마티컬리 디퍼런트 하이드레이팅 젤리 125ml,크리니크,/component/img/cos/C09.jpg,
10,로션,설화수 자음유액 125ml,설화수,/component/img/cos/C10.jpg,
11,올인원,빌리프 맨올로지101 스마트 리차저 100ml기획(+리차저20ml+클렌징폼30ml),빌리프,/component/img/cos/C11_plus_20ml.jpg,
12,로션,라운드랩 포 맨 자작나무 수분 로션 200ml,라운드랩,/component/img/cos/C12.jpg,
13,로션,라운드랩 포 맨 소나무 진정 시카 로션 200ml,라운드랩,/component/img/cos/C13.jpg,
14,올인원,우르오스 스킨밀크 200ml,우르오스,/component/img/cos/C14.jpg,
15,올인원,닥터지 레드 블레미쉬 포 맨 플루이드/폼 2종기획(+톤로션 2ml*2 증정),닥터지,/component/img/cos/C15_plus_tone_lotion.jpg,
16,로션,한율 빨간쌀 보습탄력 에멀젼 125ml,한율,/component/img/cos/C16.jpg,
17,로션,피지오겔 DMT 데일리보습 로션 200ml,피지오겔,/component/img/cos/C17.jpg,
18,로션,이니스프리 그린티 히알루론산 로션 170ml,이니스프리,/component/img/cos/C18.jpg,
19,올인원,퓨어덤 옴므 아쿠아 하이드로 올인원 크림 더블 기획(200ml+200ml),퓨어덤,/component/img/cos/C19_plus_200ml.jpg,
20,로션,아크네스 모이스처 플루이드 150ml,아크네스,/component/img/cos/C20.jpg,
21,선크림,구달 맑은 어성초 진정 수분 선크림 50ml 1+1기획,구달,/component/img/cos/C21_plus_50ml.jpg,
22,선크림,딘시 프리미엄 비건 톤 업 선크림 SPF50+ PA++++ 50ml,딘시,/component/img/cos/C22.jpg,
23,선크림,식물나라 워터프루프 선 크림 100mL,식물나라,/component/img/cos/C23.jpg,
24,선크림,구달 맑은 어성초 진정 무기자차 선크림 50ml 1+1기획,구달,/component/img/cos/C24_plus_50ml.jpg,
25,선크림,셀퓨전씨 레이저 UV 썬스크린 35ml 1+1 산리오캐릭터즈 기획 (+시나모롤 파우치),셀퓨전씨,/component/img/cos/C25_plus_pouch.jpg,
26,선크림,닥터지 그린 마일드 업 선 플러스 50ml 1+1 카카오프렌즈 콜라보 기획,닥터지,/component/img/cos/C26.jpg,
27,선크림,닥터지 그린 마일드 업 선 플러스 50ml 1+1 기획 (+10ml),닥터지,/component/img/cos/C27_plus_10ml.jpg,
28,선크림,라운드랩 자작나무 무기자차 선크림 50ml 1+1 기획,라운드랩,/component/img/cos/C28.jpg,
29,선크림,넘버즈인 1번 청초 진정맑은 물막선크림 50ml+50ml 듀오기획 (SPF50+PA++++),넘버즈인,/component/img/cos/C29.jpg,
30,선크림,식물나라 가벼운 수분 선 젤 로션 더블 기획_보노보노/일반,식물나라,/component/img/cos/C30.jpg,
31,선크림,달바 워터풀 퍼플 톤업 선크림 듀오 기획 (50ml+50ml),달바,/component/img/cos/C31_plus_50ml.jpg,
32,선크림,달바 워터풀 에센스 선크림 듀오 기획 (50ml+50ml),달바,/component/img/cos/C32_plus_50ml.jpg,
33,선크림,넘버즈인 3번 도자기결 파데스킵 톤업베이지 35ml+35ml (SPF50+ PA++++),넘버즈인,/component/img/cos/C33_plus_35ml.jpg,
34,선크림,아떼 비건 릴리프 무기자차 선크림 기획 110ml(70ml+40ml+공용기증정),아떼,/component/img/cos/C34_plus_70ml.jpg,
35,선크림,구달 맑은 어성초 진정 수분 톤업 선크림 50ml 1+1기획,구달,/component/img/cos/C35.jpg,
36,선크림,달바 워터풀 마일드 선크림 듀오 기획 (50ml+50ml),달바,/component/img/cos/C36_plus_50ml.jpg,
37,선크림,에스트라 더마UV365 장벽수분 무기자차 선크림 40ml+20ml 기획,에스트라,/component/img/cos/C37_plus_20ml.jpg,
38,선크림,메이크프렘 수딩 핑크 톤업 무기자차 선크림 40ml+40ml,메이크프렘,/component/img/cos/C38_plus_40ml.jpg,
39,선크림,닥터지 브라이트닝 업 선 플러스 40ml+40ml,닥터지,/component/img/cos/C39_plus_40ml.jpg,
40,선크림,프롬리에 비건 EGF 시카 워터 선앰플 56ml,프롬리에,/component/img/cos/C40.jpg,
41,선크림,차앤박(CNP) 톤업 프로텍션 선 50ml 1+1 기획,차앤박,/component/img/cos/C41.jpg,
42,선크림,식물나라 저자극 페이스 앤 바디 선 크림 150mL,식물나라,/component/img/cos/C42.jpg,
43,선크림,식물나라 뽀얀쌀 생기 톤업 커버 선크림 50ml,식물나라,/component/img/cos/C43.jpg,
